Flight,Origin,To,Scheduled Start Date,Scheduled End Date,Dep. Time,Arr. Time,Via/ Connection,Days
I51426/I52461,LKO,MAA,01-07-2023,28-10-2023,9:45 AM,5:05 PM,LKO/BLR BLR/MAA,Sat
I51426/I52461,LKO,MAA,01-07-2023,28-10-2023,9:45 AM,5:05 PM,LKO/BLR BLR/MAA,Mon/Wed/Thu/Fri/Sun
I5319/I5588,LKO,BLR,01-07-2023,28-10-2023,10:50 AM,5:05 PM,LKO/CCU CCU/BLR,Tue
I5319/I5588,LKO,BLR,01-07-2023,28-10-2023,10:50 AM,5:05 PM,LKO/CCU CCU/BLR,Sat
I5319/I5588,LKO,BLR,01-07-2023,28-10-2023,10:50 AM,5:05 PM,LKO/CCU CCU/BLR,Mon/Wed/Thu/Fri/Sun
I5319/I5991,LKO,BLR,01-07-2023,28-10-2023,10:50 AM,6:20 PM,LKO/CCU CCU/BLR,Sat
I5319/I5991,LKO,BLR,01-07-2023,28-10-2023,10:50 AM,6:20 PM,LKO/CCU CCU/BLR,Mon/Tue/Wed/Thu/Fri/Sun
I5319/I51427,BBI,BLR,01-07-2023,28-10-2023,2:40 PM,8:45 PM,BBI/PNQ PNQ/BLR,Sat
I5319/I51427,BBI,BLR,01-07-2023,28-10-2023,2:40 PM,8:45 PM,BBI/PNQ PNQ/BLR,Mon/Tue/Wed/Thu/Fri/Sun
I51426/I51782,LKO,BOM,01-07-2023,28-10-2023,9:45 AM,9:00 PM,LKO/BLR BLR/BOM,Tue
I51426/I51782,LKO,BOM,01-07-2023,28-10-2023,9:45 AM,9:00 PM,LKO/BLR BLR/BOM,Sat
I51426/I51782,LKO,BOM,01-07-2023,28-10-2023,9:45 AM,9:00 PM,LKO/BLR BLR/BOM,Mon/Wed/Thu/Fri/Sun
I5830/I5787,JAI,GAU,30-10-2022,24-03-2023,9:55 PM,8:10 AM,JAI/DEL DEL/GAU,Mon/Tue/Wed/Thu/Fri/Sat/Sun
I5330/I5330/I5767,GOI,IXB,30-10-2022,24-03-2023,6:05 PM,11:40 AM,GOI/LKO LKO/DEL DEL/IXB,Mon/Tue/Wed/Thu/Fri/Sat/Sun
I5330/I5330/I5767,GOI,IXB,25-03-2023,25-03-2023,6:05 PM,11:40 AM,GOI/LKO LKO/DEL DEL/IXB,Mon/Tue/Wed/Thu/Fri/Sat/Sun
I5819/I5819,GOI,IXR,30-10-2022,25-03-2023,7:15 AM,11:25 AM,GOI/BLR BLR/IXR,Mon/Wed/Fri/Sun
I5798/I5798/I5472,GAU,BOM,26-03-2023,27-10-2023,9:10 AM,2:20 AM,GAU/DEL DEL/GOI GOI/BOM,Mon/Tue/Wed/Thu/Fri/Sat/Sun
I5798/I5472,DEL,BOM,26-03-2023,27-10-2023,12:45 PM,2:20 AM,DEL/GOI GOI/BOM,Mon/Tue/Wed/Thu/Fri/Sat/Sun
